,LLUVIA_Aitzu-Urola,NIVEL_RIO_Aitzu-Urola,CAUDAL_RIO_Aitzu-Urola,LLUVIA_Aitzu,NIVEL_RIO_Aitzu,CAUDAL_RIO_Aitzu,LLUVIA_Aizarnazabal,NIVEL_RIO_Aizarnazabal,CAUDAL_RIO_Aizarnazabal,LLUVIA_Antzuola,LLUVIA_Arantzazu,LLUVIA_Araotz,LLUVIA_Arkaka,LLUVIA_Barrendiola,NIVEL_RIO_Barrendiola,CAUDAL_RIO_Barrendiola,LLUVIA_Barrendiola_Pluviometro,LLUVIA_Elosua,LLUVIA_Erdoizta,LLUVIA_Ibaieder,NIVEL_RIO_Ibaieder,CAUDAL_RIO_Ibaieder,LLUVIA_Lareo,LLUVIA_Lastur,LLUVIA_Laurgain,LLUVIA_Matxinbenta,NIVEL_RIO_Matxinbenta,CAUDAL_RIO_Matxinbenta,LLUVIA_Troya,LLUVIA_zumarraga,LLUVIA_azpeitia,LLUVIA_legazpi,LLUVIA_ACUMULADA centrada 12
2006-03-05 03:00:00,0.5,0.398,3.2736,0.5,0.398,3.2736,0.1,0.572,7.7184,,0.0,0.0,,0.0,0.25,0.1664,,0.0,0.0,0.4,0.312,1.6953,0.2,0.0,0.0,0.4,0.26,0.5316,,,,,3.200000000000002
2006-03-05 04:00:00,0.3,0.388,3.0643,0.3,0.388,3.0643,0.0,0.621,9.5173,,0.0,0.0,,0.0,0.24,0.1562,,0.0,0.0,0.4,0.341,2.1198,0.4,0.0,0.2,0.4,0.27,0.5848,,,,,3.200000000000002
2006-03-05 05:00:00,0.0,0.378,2.8626,0.0,0.378,2.8626,0.0,0.665,11.3422,,0.0,0.0,,0.0,0.23,0.1463,,0.0,0.0,0.0,0.37,2.6036,0.8,0.0,0.0,0.0,0.27,0.5848,,,,,3.200000000000002
2006-03-05 06:00:00,0.0,0.359,2.501,0.0,0.359,2.501,0.0,0.695,12.7018,,0.0,0.0,,0.0,0.22,0.1365,,0.0,0.0,0.0,0.374,2.6752,0.8,0.0,0.0,0.0,0.26,0.5316,,,,,2.700000000000002
2006-03-05 07:00:00,0.0,0.342,2.2023,0.0,0.342,2.2023,0.0,0.756,15.7541,,0.0,0.0,,0.0,0.22,0.1365,,0.0,0.0,0.0,0.364,2.4985,0.2,0.0,0.0,0.0,0.26,0.5316,,,,,2.0000000000000018
2006-03-05 08:00:00,0.0,0.327,1.9584,0.0,0.327,1.9584,0.0,0.764,16.1828,,0.0,0.0,,0.0,0.22,0.1365,,0.0,0.0,0.0,0.352,2.2961,0.0,0.0,0.0,0.0,0.25,0.4814,,,,,1.500000000000002
2006-03-05 09:00:00,0.0,0.315,1.7763,0.0,0.315,1.7763,0.0,0.755,15.701,,0.0,0.0,,0.0,0.21,0.127,,0.0,0.0,0.0,0.344,2.167,0.2,0.0,0.0,0.0,0.25,0.4814,,,,,0.800000000000002
2006-03-05 10:00:00,0.0,0.314,1.7616,0.0,0.314,1.7616,0.0,0.729,14.3557,,0.0,0.0,,0.0,0.21,0.127,,0.0,0.2,0.0,0.334,2.012,0.0,0.0,0.0,0.0,0.24,0.4343,,,,,0.300000000000002
2006-03-05 11:00:00,0.0,0.312,1.7326,0.0,0.312,1.7326,0.0,0.712,13.5137,,0.0,0.0,,0.0,0.21,0.127,,0.0,0.2,0.0,0.327,1.9076,0.0,0.0,0.0,0.0,0.24,0.4343,,,,,0.0
2006-03-05 12:00:00,0.0,0.31,1.7038,0.0,0.31,1.7038,0.0,0.696,12.7487,,0.0,0.0,,0.2,0.21,0.127,,0.6,0.0,0.0,0.322,1.8352,0.0,0.8,0.0,0.0,0.24,0.4343,,,,,0.0
2006-03-05 13:00:00,0.0,0.308,1.6754,0.0,0.308,1.6754,0.0,0.678,11.9199,,0.6,0.0,,0.2,0.2,0.1178,,0.2,0.0,0.0,0.318,1.7784,0.0,0.2,0.0,0.0,0.24,0.4343,,,,,0.500000000000002
